rank,anomaly_score,reason,timestamp,txid,src_ip,dst_ip,src_country,src_asn,src_asn_org,num_inputs,num_outputs,total_input_amount,total_output_amount,fee,ip_wallet_diversity,is_anomaly,anomaly_type
134,0.5939087205274298,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); primary_input_wallet_freq=22 (above median 13, z=2.3)",2025-01-19T03:58:40,f193ed14b3a14ab9816113762b7ed813c30ba853723048359467054ac8f702fc,139.235.250.159,32.204.14.22,US,749.0,United States Department of Defense (DoD),2,1,0.04836219,0.0483084,5.379e-05,79,0,none
135,0.5935951314167401,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-15T01:02:57,1265d746244d47ab98188bc18d5338f1b569e8e153e94036887b427177384a96,1.1.1.1,32.204.14.22,Unknown,13335.0,"Cloudflare, Inc.",1,1,0.01788136,0.01786674,1.462e-05,68,0,none
136,0.5934406352904797,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-14T02:43:31,4e40d8560eb64ccd98dc5ea167daa11213245dd0a95a4037b60501a1c8734a66,1.1.1.1,112.138.131.230,Unknown,13335.0,"Cloudflare, Inc.",2,1,0.37375295,0.37334181,0.00041114,68,0,none
137,0.5931189790889693,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-20T14:25:39,99b6078027b2464ab2e757fca0987bca3fb9210548f14a49abc76673af3a8451,1.1.1.1,35.201.188.111,Unknown,13335.0,"Cloudflare, Inc.",2,3,0.19836043999999997,0.19781912000000001,0.00054132,68,0,none
138,0.5921562918868826,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-26T02:03:25,a22df920b41b4174b88a7543568931196b865c52042446ca8b666b76cd2d691b,206.13.222.70,161.180.194.15,US,Unknown,Unknown,3,3,0.08528527,0.08515223,0.00013304,71,0,none
139,0.591982556241548,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); src_country_freq=3650 (above median 596, z=1.9)",2025-01-27T03:30:55,09b50f29b1d04420b3b0df12bf00841f77f289e2a24b4842bb1792023542d995,214.249.189.109,8.225.163.93,US,749.0,United States Department of Defense (DoD),3,1,0.06121051,0.06103921,0.0001713,54,0,none
140,0.5914930890475903,"src_ip_burst_count=2 (above median 1, z=4.7); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-18T14:09:20,05ff373d048841b99b90f3bc0984044d35b4d3a96886472e8ddf8b0910159257,8.8.4.4,1.0.0.1,US,15169.0,Google LLC,1,3,0.08734208,0.08716576,0.00017632,73,0,none
141,0.5908667573542946,"src_ip_burst_count=2 (above median 1, z=4.7); dst_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-24T12:37:19,15150b40fce64c3ab8e56ffb3c6407e3ef821da3838441dfbcd17003d36b54de,174.184.6.124,1.1.1.1,US,7922.0,"Comcast Cable Communications, LLC",3,2,0.12558575,0.12552096000000001,6.479e-05,79,0,none
142,0.5907511755517866,"src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9); primary_input_wallet_freq=20 (above median 13, z=1.8)",2025-01-09T20:27:26,15e12bd9d11d43538139a8c9c68075ba3b9dd3c25909485eaae11f2d50968386,8.8.4.4,129.111.105.72,US,15169.0,Google LLC,1,2,1.63252301,1.63150267,0.00102034,73,0,none
143,0.5906731398137941,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-23T02:08:45,daa78890d3344b1c8bd02932289aea595d1b2ef90ed746f88be4020cb93da9dc,128.23.16.40,161.180.194.15,US,13429.0,Medical University of South Carolina,3,1,0.55416031,0.55296534,0.00119497,64,0,none
144,0.5905380246207478,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-22T02:42:47,5f9573a40b15439b99f3bd819f8a481cf705072386ab4ee0a95725e2ae70e0df,16.86.83.227,58.22.187.41,US,16509.0,"Amazon.com, Inc.",1,2,0.03456138,0.03448524,7.614e-05,75,0,none
145,0.5900922236578654,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5)",2025-01-02T02:04:02,1fa46d55085b441e8773a58416c634172c387aff2bec4ff7988e94eb05aad98a,237.64.120.101,213.42.101.243,Unknown,Unknown,Unknown,2,2,0.10591673,0.10582406,9.267e-05,66,0,none
146,0.589988522507064,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6); src_country_freq=3650 (above median 596, z=1.9)",2025-01-29T21:14:38,8b6b3b2bc2bb42efbbb28806a73113debf8fddb1dc9243d68d10f220082672f6,48.129.49.234,16.86.83.227,US,Unknown,Unknown,3,1,1.32554179,1.32261868,0.00292311,69,0,none
147,0.589849328825751,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-11T03:12:07,9edb54a19d974be59d7e01858ad395979d2f94c47f1446d88a82b19b0ee10aaf,1.1.1.1,114.24.147.60,Unknown,13335.0,"Cloudflare, Inc.",3,3,0.10586646,0.10565821,0.00020825,68,0,none
148,0.5898099408860799,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-23T15:14:10,c4012018ad9249cd99b7cc4cce09b8d8f41daf26f03a4734b53693da12c9269d,9.9.9.9,54.239.5.103,Unknown,19281.0,Quad9,2,3,0.10243255999999999,0.10214904,0.00028351,64,0,none
149,0.5894364601114098,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4); primary_input_wallet_freq=20 (above median 13, z=1.8)",2025-01-23T19:04:31,cb26667cfe484289920588618fd57726f3dc713fc7374d6a9e4031305e9a1021,35.201.188.111,32.204.14.22,TW,396982.0,Google LLC,1,2,0.67195754,0.67007748,0.00188006,62,0,none
150,0.5893407946123826,"dst_is_hosting_asn=1 (above median 0, z=3.4); total_input_amount=3.132 (above median 0.09975, z=2.7); total_output_amount=3.127 (above median 0.09954, z=2.7)",2025-01-19T20:33:22,cafced2c4f074b3d882ffd17d5bd191cdd5a90c076b74396ad7ba69f89fa0f64,61.83.168.177,32.204.14.22,KR,4766.0,Korea Telecom,3,2,3.13234907,3.12697676,0.00537231,67,0,none
151,0.58876297662123,"src_is_hosting_asn=1 (above median 0, z=3.4); total_input_amount=2.083 (above median 0.09975, z=1.8); total_output_amount=2.078 (above median 0.09954, z=1.8)",2025-01-17T21:27:27,fe591be3e400491890eb58e12f9824d7c86dcfd262f14fa489d860019e735151,35.201.188.111,194.18.9.194,TW,396982.0,Google LLC,3,1,2.0828942599999998,2.0782219,0.00467236,62,0,none
152,0.5887374570991939,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); num_inputs=3 (above median 1, z=1.7)",2025-01-10T02:18:03,2899ff04d9ce4ab89e3e568541387e09d2fae258f0ef44afbc03f430c1580551,118.131.69.246,1.1.1.1,KR,3786.0,LG DACOM Corporation,3,1,0.78765422,0.78673835,0.00091587,62,0,none
153,0.5884540762186401,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-14T03:07:46,a634005a0fec440d8483b0bcf1e05dcb7941a1b5b7d54dfaaa41c744232d52f8,1.0.0.1,118.131.69.246,Unknown,13335.0,"Cloudflare, Inc.",1,3,0.04054576,0.04050898,3.678e-05,61,0,none
154,0.5882112938194061,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); output_input_ratio=0.9972 (below median 0.9983, z=-1.4)",2025-01-19T20:21:56,990f7a907f0146dd89aea381a3bd4bfafc151526d32a44b0997300bc1d534de9,9.9.9.9,20.70.71.243,Unknown,19281.0,Quad9,1,2,0.98330743,0.9805754299999999,0.002732,64,0,none
155,0.5878324534475032,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6); ip_wallet_diversity=76 (above median 66, z=1.3)",2025-01-05T05:33:10,0737c14eea5c47869bb55dbf5f393e67ba0d2e4fcc9c4f52878ee802881bddb9,171.28.116.220,51.45.47.23,GB,Unknown,Unknown,1,3,0.91005184,0.9076454,0.00240643,76,0,none
156,0.5876350598410703,"src_ip_burst_count=2 (above median 1, z=4.7); src_asn_freq=1857 (above median 124, z=2.6); src_ip_freq=55 (below median 69, z=-1.7)",2025-01-06T05:36:40,682c76cc059849b98aa33483a660c6dac255f4e0a00a492c807dd649833d702d,144.179.80.62,11.54.185.61,NO,Unknown,Unknown,3,3,0.8928502199999999,0.89184977,0.00100045,53,0,none
157,0.587285952639992,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-13T02:43:35,e119c9e0a0e94db196bdebb6fe926baca7a703a5e7f44f23a7d624bb8c9ad200,236.42.200.211,161.56.59.182,Unknown,Unknown,Unknown,2,2,1.15990628,1.15743609,0.00247019,63,0,none
158,0.5871461485233682,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6); src_country_freq=3650 (above median 596, z=1.9)",2025-01-06T01:55:10,2489451cdb8a4e25bedf3576fcfabc957d8448b63e384ef8b95b19e0acd71dc0,48.129.49.234,161.180.194.15,US,Unknown,Unknown,3,2,0.75618503,0.7557601,0.00042493,69,0,none
159,0.5868245329672254,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-17T02:44:47,d9ed504ab2da4be8a8cfd90363fdad1675c7b8699817495f84435f4856760151,201.115.224.64,8.8.4.4,MX,Unknown,Unknown,1,3,0.25070728,0.25051769,0.00018959,59,0,none
160,0.5864942164769709,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-15T19:44:06,253f65819f6b40e3a35d8c2ccf8b3f43f02423f700e34d998ddfadef5a58bbb4,1.1.1.1,20.70.71.243,Unknown,13335.0,"Cloudflare, Inc.",2,2,0.40763554999999996,0.40734254000000003,0.00029301,68,0,none
161,0.5862910713099824,"num_inputs=21 (above median 1, z=16.7); src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5)",2025-01-13T02:40:12,ad9882afba1345bcbea721883148ada00628b1dd21454a39a2b877de0213c90d,117.123.129.23,161.56.59.182,KR,17849.0,SK Broadband Co Ltd,21,1,0.09572494,0.09562922,9.572e-05,57,1,fan_in_smurfing
162,0.5859350965996359,"src_ip_burst_count=4 (above median 1, z=14.2); src_is_hosting_asn=1 (above median 0, z=3.4); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-09T05:20:36,6cf5413ea27d442b941126d2334f75f789068eb9ac30404689661c4646f56723,20.70.71.243,174.184.6.124,AU,8075.0,Microsoft Corporation,1,1,0.40150711,0.4011056,0.00040151,70,1,shared_ip_burst
163,0.5856097042250636,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_ip_freq=52 (below median 69, z=-2.1)",2025-01-02T02:13:34,4bfababca57f4a67ba312113e9f67a90eff649df0c4344b5baa0e95e8601bef2,185.228.168.9,173.140.25.175,US,205157.0,Daniel Cid,1,2,0.33331509,0.33232578,0.00098931,51,0,none
164,0.5854756546859762,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-26T03:11:34,30caea36e1114804ade8c6144af016af47ac49516c4246a9a71732285d09da3a,142.62.225.20,8.8.4.4,CA,Unknown,Unknown,1,3,0.0078837,0.007878900000000001,4.8e-06,58,0,none
165,0.5854217753920203,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-25T10:56:14,247967e2a31d41fb845cfda6c163c95c4ce6b296bbba412e8f03fc45ae563f21,1.1.1.1,104.149.85.76,Unknown,13335.0,"Cloudflare, Inc.",2,2,0.31105325,0.31019351,0.00085974,68,0,none
166,0.585313452655704,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-08T08:00:56,71a742c713d34ef4bec2f08c91d3358dffedf05fd9f641edbf1d395fcdf1654a,1.1.1.1,8.8.8.8,Unknown,13335.0,"Cloudflare, Inc.",1,3,0.01205825,0.01204893,9.31e-06,68,0,none
167,0.5852060171638194,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-27T16:40:08,f9ad1dd6d59648e9bc79b1478e2e8797c7ddcb1a324d436f989bf7a283da485d,1.1.1.1,32.204.14.22,Unknown,13335.0,"Cloudflare, Inc.",1,2,0.00734449,0.0073258099999999994,1.868e-05,68,0,none
168,0.585137447533249,"is_offhours=1 (above median 0, z=3.5); total_input_amount=2.266 (above median 0.09975, z=1.9); total_output_amount=2.262 (above median 0.09954, z=1.9)",2025-01-30T02:03:06,eb9b16f06f904d919e76c1fbff7e02fe64f1168366a34d1285c411371882f157,113.131.151.202,64.6.64.6,KR,9697.0,LG HelloVision Corp.,3,2,2.26647881,2.26234981,0.004129,74,0,none
169,0.5848543018711967,"src_ip_burst_count=2 (above median 1, z=4.7); num_inputs=3 (above median 1, z=1.7); total_input_amount=1.795 (above median 0.09975, z=1.5)",2025-01-14T17:17:35,d36dd360dc3249a9b3d147a2149b6eb44861a7a68c50422ea3ccc9bf5a6e06c6,210.160.129.76,112.138.131.230,JP,4713.0,"NTT DOCOMO BUSINESS,Inc.",3,3,1.79456651,1.79076905,0.00379746,68,0,none
170,0.5847430797426914,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9); num_inputs=3 (above median 1, z=1.7)",2025-01-25T19:48:53,588d92edd8df4b33b0ad54d07254686d89496727088e45ff87db511f08c9ce54,73.207.222.224,161.180.194.15,US,7922.0,"Comcast Cable Communications, LLC",3,3,1.04667951,1.04455263,0.00212687,56,0,none
171,0.5847380496377552,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); num_inputs=3 (above median 1, z=1.7)",2025-01-09T02:03:50,7935e152128b46f3bc720d2ddfadc4d13efad90496bd4e8aade6946a0b90061f,170.51.170.108,16.86.83.227,AR,11664.0,Techtel LMDS Comunicaciones Interactivas S.A.,3,1,0.67914818,0.67829171,0.00085647,59,0,none
172,0.5841977146947,"is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-01T02:44:47,8dc49274df72437ab81ad38825d3416fd6d235268c8e48fca5f1187cb6d8e223,16.86.83.227,120.52.207.69,US,16509.0,"Amazon.com, Inc.",2,1,0.63900182,0.63823602,0.0007658,75,0,none
173,0.5839688731320857,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_unknown=1 (above median 0, z=4.2); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-23T01:34:00,93b0832ec0a648b793905e4194ff7d7aa5f2ecd75ca448ad9316c3e883f2e6ce,227.76.191.174,194.18.9.194,Unknown,Unknown,Unknown,2,1,0.33703992000000005,0.33615959,0.00088033,63,0,none
174,0.5838399571696037,"src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9); num_inputs=3 (above median 1, z=1.7)",2025-01-24T06:04:25,e1cb43f985e84204befd026781f0881e0edbd7a873f64804af35987767762541,161.180.194.15,174.184.6.124,US,16509.0,"Amazon.com, Inc.",3,2,1.37061519,1.36707116,0.00354403,69,0,none
175,0.5838301013241324,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-29T07:15:02,dc432267f7c04f9d8fe789482d961ae1efe4c1f4f1ea4371b067d03406743d09,16.86.83.227,8.8.8.8,US,16509.0,"Amazon.com, Inc.",3,3,0.30590563,0.30511614,0.00078949,75,0,none
176,0.5836529084195778,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4); hour_of_day=23 (above median 11, z=1.7)",2025-01-03T23:52:17,782d9447df454010baea937de7baa98e08628178e45b41b0a574b2990c711eb0,20.70.71.243,35.201.188.111,AU,8075.0,Microsoft Corporation,3,3,0.40898274,0.40863525,0.00034749,70,0,none
177,0.5835968889028416,"src_country_unknown=1 (above median 0, z=4.2); src_is_hosting_asn=1 (above median 0, z=3.4); num_inputs=3 (above median 1, z=1.7)",2025-01-19T18:38:30,810f646c0bf94a438f44629769d188d6fc541ab01c4b4e75a03a007817acebe2,1.1.1.1,199.68.36.14,Unknown,13335.0,"Cloudflare, Inc.",3,3,0.84822675,0.8464976200000001,0.00172913,68,0,none
178,0.583476907276552,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4); num_inputs=3 (above median 1, z=1.7)",2025-01-08T11:27:36,3e09080cfab245ce9627cdfffab2ba0e9e07cb1967424a7abafa208dbaf5a4fd,51.45.47.23,35.198.209.154,FR,16509.0,"Amazon.com, Inc.",3,3,0.34368988,0.34343786,0.00025202,59,0,none
179,0.5832193886135557,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-13T06:02:28,20d003e8cdc745ffbef384059a7556521e5a0553db4447189fb9d906c61b3e9b,1.0.0.1,104.149.85.76,Unknown,13335.0,"Cloudflare, Inc.",3,2,0.59944714,0.59856638,0.00088076,61,0,none
180,0.5829237732011756,"is_offhours=1 (above median 0, z=3.5); src_country_freq=3650 (above median 596, z=1.9); ip_wallet_diversity=79 (above median 66, z=1.7)",2025-01-15T02:55:10,d1a64e59f1cf47098d9c978e783866098425178301934ee7ba0ef316366e686e,7.227.173.119,61.83.168.177,US,749.0,United States Department of Defense (DoD),1,1,0.87827259,0.87619423,0.00207836,79,0,none
181,0.5827464045476537,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_ip_freq=52 (below median 69, z=-2.1); ip_wallet_diversity=51 (below median 66, z=-2.0)",2025-01-02T22:33:05,5724566ede064dc7bdb4107cde4aa226b2d71f2ff7584196bd4c94c388279bfd,185.228.168.9,20.70.71.243,US,205157.0,Daniel Cid,3,2,0.46530791000000005,0.46395023999999996,0.00135767,51,0,none
182,0.5825969543357229,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-07T06:33:24,5ffb2cbf55f9490d9d10bb6bcb1e7e84a8695d37c54a4b779f60d7e63e14cc4d,1.0.0.1,51.45.47.23,Unknown,13335.0,"Cloudflare, Inc.",2,3,0.1464105,0.14627543,0.00013507,61,0,none
183,0.5825436946534779,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-30T03:09:28,3f7799f7977b4cef8560ebbce649fa70f162658644ab462f948ea3ac749b3d9f,237.64.120.101,203.253.224.48,Unknown,Unknown,Unknown,1,3,0.41464984,0.41350813,0.00114171,66,0,none
184,0.5824746414790071,"src_ip_burst_count=4 (above median 1, z=14.2); src_is_hosting_asn=1 (above median 0, z=3.4); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-09T05:23:11,69269db2405240deaa57e15705d97e58618a14b7c68045c9838949fd559e1c79,20.70.71.243,174.184.6.124,AU,8075.0,Microsoft Corporation,1,1,0.2638504,0.26358655,0.00026385,70,1,shared_ip_burst
185,0.582465357737736,"is_offhours=1 (above median 0, z=3.5); num_inputs=3 (above median 1, z=1.7); output_input_ratio=0.9971 (below median 0.9983, z=-1.6)",2025-01-10T03:22:50,c6fc3538b5c24f949bca9ceb31b06960ebdc2d4a70c8425490386a0977c70107,49.211.215.164,211.223.162.239,CN,7497.0,Computer Network Information Center of Chinese Academy of Sciences (CNIC-CAS),3,2,1.4775274,1.47328443,0.00424297,63,0,none
186,0.5821390590729395,"src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9); num_inputs=3 (above median 1, z=1.7)",2025-01-20T09:18:10,071b8623f3824495a035501606fac709467d2cc8761746b6804dd639b1394c21,16.86.83.227,206.5.9.115,US,16509.0,"Amazon.com, Inc.",3,3,0.61778195,0.61599958,0.00178237,75,0,none
187,0.5814910267808345,"src_country_unknown=1 (above median 0, z=4.2); src_asn_freq=1857 (above median 124, z=2.6); src_ip_freq=56 (below median 69, z=-1.6)",2025-01-06T00:08:49,aad8eb510b2b4c7085d2fe0a9b6d76cf7dde67adcd1a4980ab90a9cb7778a9f6,229.233.18.21,213.14.250.115,Unknown,Unknown,Unknown,2,2,0.56337382,0.56306439,0.00030943,55,0,none
188,0.5814182103745209,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6); src_ip_freq=55 (below median 69, z=-1.7)",2025-01-04T04:57:33,c26d193ea9a445a591e93a3deafe3b110b1603eca731418899233e92d28535b6,144.179.80.62,16.86.83.227,NO,Unknown,Unknown,2,2,0.88101626,0.87876392,0.00225234,53,0,none
189,0.5813111806394351,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-02T09:07:11,a64e1e00903c4968ab619465f73a3d7894bed78c9c694c5580fbed99f6bf5c88,229.233.18.21,1.1.1.1,Unknown,Unknown,Unknown,3,2,0.37145206,0.37047843999999996,0.00097362,55,0,none
190,0.5810811297405786,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-30T03:49:15,912fec2b0ec54ca9a4830a83e5cc0dd12f02a62c7cf24deabab2de68777a8a3c,48.129.49.234,8.8.4.4,US,Unknown,Unknown,2,3,0.44623408999999997,0.4455717,0.00066239,69,0,none
191,0.580807036620215,"is_offhours=1 (above median 0, z=3.5); src_asn_freq=1857 (above median 124, z=2.6); src_country_freq=3650 (above median 596, z=1.9)",2025-01-12T02:49:16,520c828f6ce84b8fac13c4719c77f5e454e94d0021104589ba3917ddf1101011,199.197.244.186,194.136.197.15,US,Unknown,Unknown,2,3,1.47051589,1.46736351,0.00315238,70,0,none
192,0.5807570767161552,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9); num_inputs=3 (above median 1, z=1.7)",2025-01-14T00:01:52,a317af25400e4d57b7fa781cbce01ab12f7a1cdd97c1446db14b90c4538b96fb,206.5.9.115,161.180.194.15,US,174.0,"Cogent Communications, LLC",3,3,1.00507028,1.0038763,0.00119399,72,0,none
193,0.5805960691852532,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-04T02:12:55,fcaa1ad063874867a869e80444d49138260397f55e3945eeb989d778f4f08743,120.184.159.215,51.45.47.23,ID,Unknown,Unknown,3,2,0.1878209,0.18740901,0.00041189,76,0,none
194,0.5803268842746768,"total_input_amount=3.219 (above median 0.09975, z=2.8); total_output_amount=3.217 (above median 0.09954, z=2.8); src_country_freq=3650 (above median 596, z=1.9)",2025-01-26T10:10:33,71e2a89e2e444d9dac29bdcd31e0d20ac00c51fec2bf425f907ddd958026b9d4,206.5.9.115,199.197.244.186,US,174.0,"Cogent Communications, LLC",3,2,3.21890667,3.21712685,0.00177982,72,0,none
195,0.5800759254728994,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_freq=3650 (above median 596, z=1.9); src_ip_freq=84 (above median 69, z=1.9)",2025-01-21T17:01:27,88b19f66abb647a6bdbf9895d98d5e7bd7a33b19b03b4c5686a15bc9f8c13f00,174.184.6.124,185.228.168.9,US,7922.0,"Comcast Cable Communications, LLC",3,2,0.73673869,0.73468882,0.00204987,79,0,none
196,0.5799816728126177,"is_offhours=1 (above median 0, z=3.5); num_inputs=3 (above median 1, z=1.7); hour_of_day=2 (below median 11, z=-1.3)",2025-01-22T02:40:06,d34d8f3b615f4a0ba4da008b6d53b50a40ae5abbfab6419f81ac867c1c5716e9,213.42.101.243,167.145.255.192,AE,5384.0,Emirates Telecommunications Group Company (etisalat Group) Pjsc,3,3,1.49358409,1.489771,0.00381309,67,0,none
197,0.5799429868396379,"num_inputs=19 (above median 1, z=15.0); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-19T14:11:28,61f413f115ca449b990a76f563c8a9bcc1fbfffb1aed4d3ca685901935a01e4a,48.129.49.234,120.52.207.69,US,Unknown,Unknown,19,1,0.09952989,0.09943036,9.953e-05,69,1,fan_in_smurfing
198,0.5797239335074198,"is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-13T02:43:32,12df1c67d154422896ea70054e56019c558bc2795cb241aea912f30c4fd985c7,16.86.83.227,194.218.13.46,US,16509.0,"Amazon.com, Inc.",1,1,0.18089623,0.18074067,0.00015556,75,0,none
199,0.5796999712337693,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-13T02:10:12,16c201dd3c514465b759506f10b89b3de5afc4562c70488fb41072c28c73999c,206.13.222.70,161.180.194.15,US,Unknown,Unknown,2,1,0.12033121000000001,0.12014184,0.00018937,71,0,none
200,0.5795307946223769,"src_is_hosting_asn=1 (above median 0, z=3.4); total_input_amount=2.067 (above median 0.09975, z=1.8); total_output_amount=2.062 (above median 0.09954, z=1.8)",2025-01-29T14:09:50,9cadd9d7d1d047b492818f2f1b4c32b7773fc39573a8480ba0d3cba8bb5672ec,35.198.209.154,58.22.187.41,SG,396982.0,Google LLC,1,2,2.06706203,2.0621378,0.00492423,63,0,none
